dataset_id,ten_tieng_viet,nguon,source_url,loai_du_lieu,tooltip_giai_thich
traveloka_reviews,traveloka reviews,repo SEA,datasets/bronze/traveloka/reviews/traveloka_reviews.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
traveloka_reviews,traveloka reviews,repo SEA,datasets/bronze/traveloka/reviews/traveloka_reviews.parquet,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
crawl_log,crawl log,repo SEA,datasets/crawl_log.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
crawl_plan,crawl plan,repo SEA,datasets/crawl_plan.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
crawl_plan,crawl plan,repo SEA,datasets/crawl_plan.parquet,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
destination_readiness_scores_legacy_20260519T160931Z,destination readiness scores legacy 20260519T160931Z,repo SEA,datasets/evidence_archive/destination_readiness_scores_legacy_20260519T160931Z.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
poi_master_legacy_20260519T160931Z,poi master legacy 20260519T160931Z,repo SEA,datasets/evidence_archive/poi_master_legacy_20260519T160931Z.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
redistribution_features_legacy_20260519T160650Z,redistribution features legacy 20260519T160650Z,repo SEA,datasets/evidence_archive/redistribution_features_legacy_20260519T160650Z.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
redistribution_features_legacy_20260519T160931Z,redistribution features legacy 20260519T160931Z,repo SEA,datasets/evidence_archive/redistribution_features_legacy_20260519T160931Z.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
weather_risk_features_legacy_20260519T160931Z,weather risk features legacy 20260519T160931Z,repo SEA,datasets/evidence_archive/weather_risk_features_legacy_20260519T160931Z.csv,proxy,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_052117Z,attraction ticket catalog 052117Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_052117Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_054220Z,attraction ticket catalog 054220Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_054220Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_073803Z,attraction ticket catalog 073803Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_083719Z,attraction ticket catalog 083719Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_090406Z,attraction ticket catalog 090406Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_092316Z,attraction ticket catalog 092316Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_095553Z,attraction ticket catalog 095553Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_095620Z,attraction ticket catalog 095620Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_102114Z,attraction ticket catalog 102114Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_105037Z,attraction ticket catalog 105037Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_143522Z,attraction ticket catalog 143522Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
attraction_ticket_catalog_151825Z,attraction ticket catalog 151825Z,repo SEA,datasets/gold/archive/2026-05-20/attraction_ticket_catalog_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_073803Z,danh sach diem den mo rong 073803Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_083719Z,danh sach diem den mo rong 083719Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_090406Z,danh sach diem den mo rong 090406Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_092316Z,danh sach diem den mo rong 092316Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_095553Z,danh sach diem den mo rong 095553Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_095620Z,danh sach diem den mo rong 095620Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_102114Z,danh sach diem den mo rong 102114Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_105037Z,danh sach diem den mo rong 105037Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_143522Z,danh sach diem den mo rong 143522Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
danh_sach_diem_den_mo_rong_151825Z,danh sach diem den mo rong 151825Z,repo SEA,datasets/gold/archive/2026-05-20/danh_sach_diem_den_mo_rong_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_083719Z,de xuat hieu qua kinh te 083719Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_090406Z,de xuat hieu qua kinh te 090406Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_092316Z,de xuat hieu qua kinh te 092316Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_095553Z,de xuat hieu qua kinh te 095553Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_095620Z,de xuat hieu qua kinh te 095620Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_102114Z,de xuat hieu qua kinh te 102114Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_105037Z,de xuat hieu qua kinh te 105037Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_143522Z,de xuat hieu qua kinh te 143522Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
de_xuat_hieu_qua_kinh_te_151825Z,de xuat hieu qua kinh te 151825Z,repo SEA,datasets/gold/archive/2026-05-20/de_xuat_hieu_qua_kinh_te_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
du_bao_thoi_tiet_7_ngay_143522Z,du bao thoi tiet 7 ngay 143522Z,repo SEA,datasets/gold/archive/2026-05-20/du_bao_thoi_tiet_7_ngay_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
du_bao_thoi_tiet_7_ngay_151825Z,du bao thoi tiet 7 ngay 151825Z,repo SEA,datasets/gold/archive/2026-05-20/du_bao_thoi_tiet_7_ngay_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_052117Z,economic action recommendations 052117Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_052117Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_054220Z,economic action recommendations 054220Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_054220Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_073803Z,economic action recommendations 073803Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_083719Z,economic action recommendations 083719Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_090406Z,economic action recommendations 090406Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_092316Z,economic action recommendations 092316Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_095553Z,economic action recommendations 095553Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_095620Z,economic action recommendations 095620Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_102114Z,economic action recommendations 102114Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_105037Z,economic action recommendations 105037Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_143522Z,economic action recommendations 143522Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
economic_action_recommendations_151825Z,economic action recommendations 151825Z,repo SEA,datasets/gold/archive/2026-05-20/economic_action_recommendations_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_052117Z,flight price signal 052117Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_052117Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_054220Z,flight price signal 054220Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_054220Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_073803Z,flight price signal 073803Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_083719Z,flight price signal 083719Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_090406Z,flight price signal 090406Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_092316Z,flight price signal 092316Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_095553Z,flight price signal 095553Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_095620Z,flight price signal 095620Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_102114Z,flight price signal 102114Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_105037Z,flight price signal 105037Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_143522Z,flight price signal 143522Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
flight_price_signal_151825Z,flight price signal 151825Z,repo SEA,datasets/gold/archive/2026-05-20/flight_price_signal_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_052117Z,forecast demand scores 052117Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_052117Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_054220Z,forecast demand scores 054220Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_054220Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_073803Z,forecast demand scores 073803Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_083719Z,forecast demand scores 083719Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_090406Z,forecast demand scores 090406Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_092316Z,forecast demand scores 092316Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_095553Z,forecast demand scores 095553Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_095620Z,forecast demand scores 095620Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_102114Z,forecast demand scores 102114Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_105037Z,forecast demand scores 105037Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_143522Z,forecast demand scores 143522Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
forecast_demand_scores_151825Z,forecast demand scores 151825Z,repo SEA,datasets/gold/archive/2026-05-20/forecast_demand_scores_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_052117Z,hotel price pressure 052117Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_052117Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_054220Z,hotel price pressure 054220Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_054220Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_073803Z,hotel price pressure 073803Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_083719Z,hotel price pressure 083719Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_090406Z,hotel price pressure 090406Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_092316Z,hotel price pressure 092316Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_095553Z,hotel price pressure 095553Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_095620Z,hotel price pressure 095620Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_102114Z,hotel price pressure 102114Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_105037Z,hotel price pressure 105037Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_143522Z,hotel price pressure 143522Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
hotel_price_pressure_151825Z,hotel price pressure 151825Z,repo SEA,datasets/gold/archive/2026-05-20/hotel_price_pressure_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_083719Z,kiem dinh proxy 083719Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_090406Z,kiem dinh proxy 090406Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_092316Z,kiem dinh proxy 092316Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_095553Z,kiem dinh proxy 095553Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_095620Z,kiem dinh proxy 095620Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_102114Z,kiem dinh proxy 102114Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_105037Z,kiem dinh proxy 105037Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_143522Z,kiem dinh proxy 143522Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kiem_dinh_proxy_151825Z,kiem dinh proxy 151825Z,repo SEA,datasets/gold/archive/2026-05-20/kiem_dinh_proxy_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_052117Z,kpi confidence scores 052117Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_052117Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_054220Z,kpi confidence scores 054220Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_054220Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_073803Z,kpi confidence scores 073803Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_083719Z,kpi confidence scores 083719Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_090406Z,kpi confidence scores 090406Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_090406Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_092316Z,kpi confidence scores 092316Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_092316Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_095553Z,kpi confidence scores 095553Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_095553Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_095620Z,kpi confidence scores 095620Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_095620Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_102114Z,kpi confidence scores 102114Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_102114Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_105037Z,kpi confidence scores 105037Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_105037Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_143522Z,kpi confidence scores 143522Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_143522Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_confidence_scores_151825Z,kpi confidence scores 151825Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_confidence_scores_151825Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_scale_catalog_052117Z,kpi scale catalog 052117Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_scale_catalog_052117Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_scale_catalog_054220Z,kpi scale catalog 054220Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_scale_catalog_054220Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_scale_catalog_073803Z,kpi scale catalog 073803Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_scale_catalog_073803Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
kpi_scale_catalog_083719Z,kpi scale catalog 083719Z,repo SEA,datasets/gold/archive/2026-05-20/kpi_scale_catalog_083719Z.csv,mixed,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
