destination_id,ten_diem_den,diem_ap_luc,do_tin_cay,hotel_price_pressure_score,tooltip
phong_nha,Phong Nha - Kẻ Bàng,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ba_na,Bà Nà Hills,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
mai_chau,Mai Châu,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
tam_dao,Tam Đảo,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
pleiku,Pleiku,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
buon_ma_thuot,Buôn Ma Thuột,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
chau_doc,Châu Đốc,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ba_vi,Ba Vì,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
thien_cam,Thiên Cầm,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
nhat_le,Nhật Lệ,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
cua_tung,Cửa Tùng,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
hai_tien,Hải Tiến,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
lang_co,Lăng Cô,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
cu_lao_cham,Cù Lao Chàm,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
tam_ky,Tam Kỳ,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
sa_huynh,Sa Huỳnh,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
my_khe,Mỹ Khê,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
la_gi,La Gi,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
phan_thiet,Phan Thiết,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ky_co,Kỳ Co,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
binh_ba,Bình Ba,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
cam_ranh,Cam Ranh,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
phan_rang,Phan Rang - Tháp Chàm,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
vinh_hy,Vĩnh Hy,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ghenh_da_dia,Gành Đá Đĩa,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
tuy_hoa,Tuy Hòa,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ha_tien,Hà Tiên,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
co_to,Cô Tô,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
tra_co,Trà Cổ,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ho_tram,Hồ Tràm,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
can_gio,Cần Giờ,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
hon_son,Hòn Sơn,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
nam_du,Nam Du,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
bac_lieu,Bạc Liêu,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ca_mau_dat_mui,Đất Mũi Cà Mau,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
soc_trang,Sóc Trăng,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
tra_vinh,Trà Vinh,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
do_son,Đồ Sơn,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
thinh_long,Thịnh Long,36.0,43.75,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
moc_chau,Mộc Châu,34.61,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ben_tre,Bến Tre,33.56,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
an_giang,An Giang,32.63,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
can_tho,Cần Thơ,32.07,61.5,50.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
nha_trang,Nha Trang,28.72,61.5,36.86,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
con_dao,Côn Đảo,27.69,61.5,12.77,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
sa_pa,Sa Pa,24.69,61.5,18.69,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
ho_chi_minh_city,TP Hồ Chí Minh,16.48,61.5,0.0,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
da_lat,Đà Lạt,16.38,61.5,4.8,"Proxy từ snapshot giá OTA công khai, không phải công suất phòng hay giá realtime."
