ma_diem_den,ten_diem_den,tinh_thanh,vung,loai_hinh,vi_do,kinh_do,la_ven_bien,nguon_du_lieu,loai_du_lieu,do_tin_cay,cap_nhat_lan_cuoi
ho_chi_minh_city,TP Hồ Chí Minh,TP Hồ Chí Minh,Đông Nam Bộ,đô thị;cửa ngõ,10.8231,106.6297,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
an_giang,An Giang,An Giang,Đồng bằng sông Cửu Long,mekong;di sản;tự nhiên,10.5216,105.1259,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
chau_doc,Châu Đốc,An Giang,Đồng bằng sông Cửu Long,tâm linh;mekong,10.705,105.1167,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ben_tre,Bến Tre,Bến Tre,Đồng bằng sông Cửu Long,mekong;sinh thái,10.2434,106.3756,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
can_tho,Cần Thơ,Cần Thơ,Đồng bằng sông Cửu Long,mekong;đô thị,10.0452,105.7469,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ba_vi,Ba Vì,Hà Nội,Đồng bằng sông Hồng,sinh thái;núi,21.082,105.374,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ha_noi,Hà Nội,Hà Nội,Đồng bằng sông Hồng,đô thị;di sản;cửa ngõ,21.0278,105.8342,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ninh_binh,Ninh Bình,Ninh Bình,Đồng bằng sông Hồng,di sản;tự nhiên,20.2506,105.9745,không,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
thien_cam,Thiên Cầm,Hà Tĩnh,Bắc Trung Bộ,bãi biển,18.2597,106.1053,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
cua_lo,Cửa Lò,Nghệ An,Bắc Trung Bộ,bãi biển,18.7929,105.722,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
nhat_le,Nhật Lệ,Quảng Bình,Bắc Trung Bộ,bãi biển,17.4833,106.6233,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
cua_tung,Cửa Tùng,Quảng Trị,Bắc Trung Bộ,bãi biển,17.1012,107.1028,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
hai_tien,Hải Tiến,Thanh Hóa,Bắc Trung Bộ,bãi biển,19.8605,105.9297,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
sam_son,Sầm Sơn,Thanh Hóa,Bắc Trung Bộ,bãi biển,19.7419,105.902,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
lang_co,Lăng Cô,Huế,Duyên hải miền Trung,bãi biển;đầm phá,16.2383,108.0789,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
cu_lao_cham,Cù Lao Chàm,Quảng Nam,Duyên hải miền Trung,đảo;biển,15.955,108.51,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
hoi_an,Hội An,Quảng Nam,Duyên hải miền Trung,di sản;biển,15.8801,108.338,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
tam_ky,Tam Kỳ,Quảng Nam,Duyên hải miền Trung,đô thị;biển,15.5736,108.474,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
sa_huynh,Sa Huỳnh,Quảng Ngãi,Duyên hải miền Trung,bãi biển,14.6723,109.0588,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
my_khe,Mỹ Khê,Đà Nẵng,Duyên hải miền Trung,bãi biển,16.0544,108.2478,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
da_nang,Đà Nẵng,Đà Nẵng,Duyên hải miền Trung,biển;đô thị;cửa ngõ,16.0471,108.2068,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
la_gi,La Gi,Bình Thuận,Nam Trung Bộ,bãi biển,10.6599,107.7722,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
mui_ne,Mũi Né,Bình Thuận,Nam Trung Bộ,biển;thể thao,10.9333,108.2833,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
phan_thiet,Phan Thiết,Bình Thuận,Nam Trung Bộ,biển;đô thị,10.9804,108.2615,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ky_co,Kỳ Co,Bình Định,Nam Trung Bộ,bãi biển,13.895,109.291,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
quy_nhon,Quy Nhơn,Bình Định,Nam Trung Bộ,biển;đô thị,13.7563,109.2297,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
binh_ba,Bình Ba,Khánh Hòa,Nam Trung Bộ,đảo;biển,11.8535,109.23,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
cam_ranh,Cam Ranh,Khánh Hòa,Nam Trung Bộ,biển;sân bay,11.902,109.2207,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
nha_trang,Nha Trang,Khánh Hòa,Nam Trung Bộ,biển;đô thị,12.2388,109.1967,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
phan_rang,Phan Rang - Tháp Chàm,Ninh Thuận,Nam Trung Bộ,biển;văn hóa,11.5826,108.9912,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
vinh_hy,Vĩnh Hy,Ninh Thuận,Nam Trung Bộ,vịnh;biển,11.7183,109.19,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ghenh_da_dia,Gành Đá Đĩa,Phú Yên,Nam Trung Bộ,di sản địa chất;biển,13.3533,109.293,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
tuy_hoa,Tuy Hòa,Phú Yên,Nam Trung Bộ,biển;đô thị,13.0955,109.3209,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ha_tien,Hà Tiên,Kiên Giang,Tây Nam Bộ,biển;cửa khẩu,10.3831,104.4875,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
cat_ba,Cát Bà,Hải Phòng,Đông Bắc,đảo;biển;tự nhiên,20.7278,107.0482,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
co_to,Cô Tô,Quảng Ninh,Đông Bắc,đảo;biển,20.9736,107.7657,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ha_long,Hạ Long,Quảng Ninh,Đông Bắc,biển;di sản;đô thị,20.9712,107.0448,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
tra_co,Trà Cổ,Quảng Ninh,Đông Bắc,bãi biển;biên giới,21.4644,108.0142,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ho_tram,Hồ Tràm,Bà Rịa - Vũng Tàu,Đông Nam Bộ,bãi biển;resort,10.477,107.426,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
vung_tau,Vũng Tàu,Bà Rịa - Vũng Tàu,Đông Nam Bộ,biển;đô thị,10.4114,107.1362,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
can_gio,Cần Giờ,TP Hồ Chí Minh,Đông Nam Bộ,biển;sinh thái,10.4111,106.9547,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
hon_son,Hòn Sơn,Kiên Giang,Đảo Tây Nam Bộ,đảo;biển,9.81,104.63,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
nam_du,Nam Du,Kiên Giang,Đảo Tây Nam Bộ,đảo;biển,9.684,104.354,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
phu_quoc,Phú Quốc,Kiên Giang,Đảo Tây Nam Bộ,đảo;biển,10.2899,103.984,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ly_son,Lý Sơn,Quảng Ngãi,Đảo miền Trung,đảo;biển,15.3833,109.1167,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
con_dao,Côn Đảo,Bà Rịa - Vũng Tàu,Đảo Đông Nam Bộ,đảo;biển;di sản,8.6864,106.6082,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
bac_lieu,Bạc Liêu,Bạc Liêu,Đồng bằng sông Cửu Long,biển;văn hóa,9.294,105.7244,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
ca_mau_dat_mui,Đất Mũi Cà Mau,Cà Mau,Đồng bằng sông Cửu Long,sinh thái;biển,8.6208,104.7314,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
soc_trang,Sóc Trăng,Sóc Trăng,Đồng bằng sông Cửu Long,văn hóa;mekong,9.6025,105.9739,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
tra_vinh,Trà Vinh,Trà Vinh,Đồng bằng sông Cửu Long,văn hóa;biển,9.9347,106.3453,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
do_son,Đồ Sơn,Hải Phòng,Đồng bằng sông Hồng,bãi biển;đô thị,20.7149,106.7894,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
thinh_long,Thịnh Long,Nam Định,Đồng bằng sông Hồng,bãi biển,20.0333,106.2833,có,destination_registry hiện có + danh mục điểm đến du lịch Việt Nam mở rộng,mixed_public_registry,65,01/06/2026 18:36
