"xep_hang","ten_diem_den","tinh_thanh","vung","muc_canh_bao","diem_ap_luc","diem_thoi_tiet","diem_ha_tang","diem_co_hoi_kinh_te","diem_dieu_phoi","du_bao_24_gio","du_bao_7_ngay","du_bao_30_ngay","nhiet_do_hien_tai","kha_nang_mua","gio","trang_thai_thoi_tiet_ngan","cap_nhat_thoi_tiet_luc","loai_du_lieu","do_tin_cay","ly_do_xep_hang","hanh_dong_de_xuat","hieu_qua_kinh_te_du_kien","cap_nhat_lan_cuoi"
"11","Ninh Binh","Ninh Binh","red_river_delta","xám","48.38","85.38","23.27","19.82","35.0","59.48","43.78","34.4","28.2","0.0","14.1","Ổn định","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","61.5","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"12","Ly Son","Quang Ngai","central_coast_islands","xám","47.76","83.6","22.7","18.39","35.0","58.51","43.32","33.89","28.1","0.0","27.0","Ổn định","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","61.5","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"13","Ha Noi","Ha Noi","red_river_delta","xám","45.65","77.56","33.92","24.09","50.89","55.22","41.74","34.3","27.5","0.0","12.2","Ổn định","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","61.5","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"14","Ha Giang","Ha Giang","northern_mountains","xám","43.62","71.78","25.66","20.26","35.0","52.07","40.21","32.82","24.9","0.6","3.1","Ổn định","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","61.5","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"15","Phu Quoc","Kien Giang","mekong_islands","xám","37.76","57.28","48.71","45.72","41.8","43.62","35.5","35.28","26.6","0.1","11.6","Ổn định","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","61.5","thiếu POI/nguồn kiểm định","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"16","Phong Nha - Kẻ Bàng","Quảng Bình","Bắc Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"17","Bà Nà Hills","Đà Nẵng","Duyên hải miền Trung","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"18","Mai Châu","Hòa Bình","Miền núi phía Bắc","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"19","Tam Đảo","Vĩnh Phúc","Trung du miền núi Bắc Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"20","Pleiku","Gia Lai","Tây Nguyên","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"21","Buôn Ma Thuột","Đắk Lắk","Tây Nguyên","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"22","Châu Đốc","An Giang","Đồng bằng sông Cửu Long","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"23","Ba Vì","Hà Nội","Đồng bằng sông Hồng","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"24","Thiên Cầm","Hà Tĩnh","Bắc Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"25","Nhật Lệ","Quảng Bình","Bắc Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"26","Cửa Tùng","Quảng Trị","Bắc Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"27","Hải Tiến","Thanh Hóa","Bắc Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"28","Lăng Cô","Huế","Duyên hải miền Trung","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"29","Cù Lao Chàm","Quảng Nam","Duyên hải miền Trung","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"30","Tam Kỳ","Quảng Nam","Duyên hải miền Trung","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"31","Sa Huỳnh","Quảng Ngãi","Duyên hải miền Trung","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"32","Mỹ Khê","Đà Nẵng","Duyên hải miền Trung","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"33","La Gi","Bình Thuận","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"34","Phan Thiết","Bình Thuận","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"35","Kỳ Co","Bình Định","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"36","Bình Ba","Khánh Hòa","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"37","Cam Ranh","Khánh Hòa","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"38","Phan Rang - Tháp Chàm","Ninh Thuận","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"39","Vĩnh Hy","Ninh Thuận","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"40","Gành Đá Đĩa","Phú Yên","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"41","Tuy Hòa","Phú Yên","Nam Trung Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"42","Hà Tiên","Kiên Giang","Tây Nam Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"43","Cô Tô","Quảng Ninh","Đông Bắc","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"44","Trà Cổ","Quảng Ninh","Đông Bắc","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"45","Hồ Tràm","Bà Rịa - Vũng Tàu","Đông Nam Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"46","Cần Giờ","TP Hồ Chí Minh","Đông Nam Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"47","Hòn Sơn","Kiên Giang","Đảo Tây Nam Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"48","Nam Du","Kiên Giang","Đảo Tây Nam Bộ","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
"49","Bạc Liêu","Bạc Liêu","Đồng bằng sông Cửu Long","xám","36.0","50.0","35.0","25.05","35.0","40.2","34.5","31.11","","","","thiếu dữ liệu","20/05/2026 17:50","mixed_proxy_thieu_du_lieu","43.75","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","20/05/2026 17:50"
